iter	Passed	Remaining
432	1517	1987
433	1519	1981
434	1524	1980
435	1531	1980
436	1534	1976
437	1537	1972
438	1542	1971
439	1548	1971
440	1551	1966
441	1553	1961
442	1557	1958
443	1559	1953
444	1562	1948
445	1564	1942
446	1566	1938
447	1568	1932
448	1572	1929
449	1579	1930
450	1582	1926
451	1584	1921
452	1593	1924
453	1597	1921
454	1599	1916
455	1605	1915
456	1611	1915
457	1615	1911
458	1620	1909
459	1623	1905
460	1626	1901
461	1629	1897
462	1632	1893
463	1636	1890
464	1638	1885
465	1640	1880
466	1643	1875
467	1645	1870
468	1647	1865
469	1649	1860
470	1651	1855
471	1654	1850
472	1820	2028
473	1826	2027
474	1833	2026
475	1839	2024
476	1843	2021
477	1853	2024
478	1866	2030
479	1883	2040
480	1888	2037
481	1899	2041
482	1918	2053
483	1931	2058
484	1934	2054
485	1939	2050
486	1962	2067
487	1970	2066
488	1978	2067
489	1982	2063
490	1986	2058
491	1996	2061
492	1999	2056
493	2002	2051
494	2008	2049
495	2012	2045
496	2016	2040
497	2021	2037
498	2026	2034
499	2029	2029
500	2041	2033
501	2044	2028
502	2055	2031
503	2058	2026
504	2065	2024
505	2068	2019
506	2070	2013
507	2073	2008
508	2079	2005
509	2081	1999
510	2083	1994
511	2086	1988
512	2088	1983
513	2094	1980
514	2097	1975
515	2099	1969
516	2102	1964
517	2105	1958
518	2107	1953
519	2109	1947
520	2113	1942
521	2115	1936
522	2117	1931
523	2120	1926
524	2124	1921
525	2126	1916
526	2128	1910
527	2131	1905
528	2134	1900
529	2136	1894
530	2140	1890
531	2142	1885
532	2145	1879
533	2147	1873
534	2149	1868
535	2151	1862
536	2156	1859
537	2158	1853
538	2160	1847
539	2163	1842
540	2165	1837
541	2169	1833
542	2171	1827
543	2174	1822
544	2176	1817
545	2178	1811
546	2180	1805
547	2185	1802
548	2187	1797
549	2190	1791
550	2192	1786
551	2194	1781
552	2196	1775
553	2200	1771
554	2202	1766
555	2204	1760
556	2207	1755
557	2209	1750
558	2211	1745
559	2216	1741
560	2218	1736
561	2221	1731
562	2223	1725
563	2225	1720
564	2228	1715
565	2231	1710
566	2233	1705
567	2236	1701
568	2238	1695
569	2240	1690
570	2244	1686
571	2248	1682
572	2251	1677
573	2253	1672
574	2255	1667
575	2260	1663
576	2262	1658
577	2265	1654
578	2267	1648
579	2269	1643
580	2272	1638
581	2277	1635
582	2280	1631
583	2282	1625
584	2284	1620
585	2287	1616
586	2290	1611
587	2293	1607
588	2295	1602
589	2298	1596
590	2300	1591
591	2302	1587
592	2307	1583
593	2309	1578
594	2312	1573
595	2314	1568
596	2316	1563
597	2318	1558
598	2322	1554
599	2325	1550
600	2327	1545
601	2329	1540
602	2332	1535
603	2334	1530
604	2339	1527
605	2341	1522
606	2343	1517
607	2346	1512
608	2348	1507
609	2351	1503
610	2355	1499
611	2357	1494
612	2359	1489
613	2362	1484
614	2364	1480
615	2369	1476
616	2371	1471
617	2373	1466
618	2376	1462
619	2378	1457
620	2381	1453
621	2385	1449
622	2387	1445
623	2390	1440
624	2392	1435
625	2394	1430
626	2399	1427
627	2401	1422
628	2403	1417
629	2406	1413
630	2408	1408
631	2411	1403
632	2415	1400
633	2417	1395
634	2420	1391
635	2422	1386
636	2425	1381
637	2428	1378
638	2432	1373
639	2434	1369
640	2436	1364
641	2438	1359
642	2440	1354
643	2443	1351
644	2446	1346
645	2449	1342
646	2451	1337
647	2453	1332
648	2456	1328
649	2460	1324
650	2462	1320
651	2466	1316
652	2468	1311
653	2470	1306
654	2473	1302
655	2477	1298
656	2480	1294
657	2482	1290
658	2484	1285
659	2487	1281
660	2489	1276
661	2492	1272
662	2495	1268
663	2497	1263
664	2499	1259
665	2502	1255
666	2505	1250
667	2508	1246
668	2510	1242
669	2512	1237
670	2515	1233
671	2517	1228
672	2519	1224
673	2522	1219
674	2524	1215
675	2526	1210
676	2529	1206
677	2531	1202
678	2533	1197
679	2536	1193
680	2538	1189
681	2540	1184
682	2542	1180
683	2544	1175
684	2546	1171
685	2549	1166
686	2551	1162
687	2553	1157
688	2555	1153
689	2557	1149
690	2559	1144
691	2562	1140
692	2564	1135
693	2566	1131
694	2568	1127
695	2570	1122
696	2573	1118
697	2575	1114
698	2577	1109
699	2579	1105
700	2581	1101
701	2583	1096
702	2585	1092
703	2588	1088
704	2590	1083
705	2592	1079
706	2594	1075
707	2596	1070
708	2599	1066
709	2601	1062
710	2603	1058
711	2605	1053
712	2607	1049
713	2612	1046
714	2614	1042
715	2617	1038
716	2620	1034
717	2622	1030
718	2627	1026
719	2630	1022
720	2633	1018
721	2635	1014
722	2637	1010
723	2640	1006
724	2644	1002
725	2647	999
726	2649	994
727	2651	990
728	2653	986
729	2656	982
730	2660	979
731	2662	974
732	2664	970
733	2666	966
734	2668	962
735	2670	958
736	2673	954
737	2676	950
738	2678	946
739	2680	941
740	2683	938
741	2686	933
742	2689	930
743	2692	926
744	2694	922
745	2696	918
746	2698	913
747	2700	909
748	2703	905
749	2708	902
750	2714	900
751	2717	896
752	2719	891
753	2722	888
754	2724	884
755	2728	880
756	2732	877
757	2739	874
758	2744	871
759	2747	867
760	2749	863
761	2752	859
762	2755	855
763	2758	852
764	2761	848
765	2763	844
766	2765	840
767	2768	836
768	2775	833
769	2777	829
770	2779	825
771	2781	821
772	2783	817
773	2785	813
774	2789	809
775	2792	805
776	2794	802
777	2797	798
778	2799	794
779	2802	790
780	2805	786
781	2807	782
782	2809	778
783	2811	774
784	2814	770
785	2817	767
786	2820	763
787	2823	759
788	2825	755
789	2827	751
790	2830	747
791	2832	743
792	2836	740
793	2838	736
794	2841	732
795	2844	728
796	2846	724
797	2849	721
798	2851	717
799	2853	713
800	2855	709
801	2857	705
802	2859	701
803	2861	697
804	2864	693
805	2866	690
806	2868	686
807	2871	682
808	2873	678
809	2875	674
810	2877	670
811	2879	666
812	2881	662
813	2883	658
814	2886	655
815	2888	651
816	2890	647
817	2892	643
818	2895	639
819	2897	635
820	2899	632
821	2903	628
822	2906	625
823	2909	621
824	2913	617
825	2915	614
826	2918	610
827	2920	606
828	2922	602
829	2925	599
830	2927	595
831	2930	591
832	2933	588
833	2935	584
834	2937	580
835	2942	577
836	2944	573
837	2946	569
838	2948	565
839	2950	562
840	2952	558
841	2957	554
842	2961	551
843	2963	547
844	2965	543
845	2967	540
846	2971	536
847	2974	533
848	2977	529
849	2979	525
850	2981	522
851	2984	518
852	2987	514
853	2990	511
854	2992	507
855	2994	503
856	2996	499
857	2998	496
858	3003	492
859	3005	489
860	3007	485
861	3009	481
862	3011	478
863	3013	474
864	3016	470
865	3018	467
866	3021	463
867	3023	459
868	3025	456
869	3027	452
870	3029	448
871	3032	445
872	3034	441
873	3036	437
874	3038	434
875	3040	430
876	3043	426
877	3047	423
878	3049	419
879	3052	416
880	3054	412
881	3056	408
882	3058	405
883	3061	401
884	3063	398
885	3065	394
886	3067	390
887	3070	387
888	3073	383
889	3076	380
890	3080	376
891	3082	373
892	3084	369
893	3086	366
894	3089	362
895	3093	359
896	3095	355
897	3097	351
898	3100	348
899	3102	344
900	3104	341
901	3109	337
902	3111	334
903	3114	330
904	3116	327
905	3118	323
906	3120	319
907	3123	316
908	3125	312
909	3128	309
910	3130	305
911	3132	302
912	3137	298
913	3139	295
914	3141	291
915	3143	288
916	3145	284
917	3147	281
918	3150	277
919	3152	274
920	3154	270
921	3157	267
922	3159	263
923	3161	260
924	3164	256
925	3168	253
926	3171	249
927	3173	246
928	3176	242
929	3179	239
930	3181	235
931	3184	232
932	3187	228
933	3190	225
934	3193	221
935	3198	218
936	3200	215
937	3202	211
938	3205	208
939	3212	205
940	3214	201
941	3216	198
942	3218	194
943	3221	191
944	3223	187
945	3225	184
946	3228	180
947	3230	177
948	3232	173
949	3235	170
950	3237	166
951	3239	163
952	3242	159
953	3244	156
954	3246	152
955	3248	149
956	3250	146
957	3252	142
958	3254	139
959	3256	135
960	3258	132
961	3261	128
962	3263	125
963	3265	121
964	3267	118
965	3269	115
966	3271	111
967	3273	108
968	3275	104
969	3277	101
970	3280	97
971	3282	94
972	3284	91
973	3286	87
974	3288	84
975	3290	80
976	3292	77
977	3294	74
978	3296	70
979	3299	67
980	3300	63
981	3303	60
982	3305	57
983	3307	53
984	3309	50
985	3311	47
986	3313	43
987	3315	40
988	3317	36
989	3319	33
990	3321	30
991	3324	26
992	3326	23
993	3328	20
994	3330	16
995	3332	13
996	3334	10
997	3336	6
998	3346	3
999	3350	0
