iter	RMSE
191	1.264256049
192	1.26239693
193	1.260267966
194	1.258381976
195	1.256989073
196	1.254847042
197	1.253157916
198	1.251170749
199	1.249690618
200	1.248182361
201	1.246437741
202	1.244866775
203	1.243357418
204	1.241890653
205	1.240570045
206	1.237811926
207	1.236356129
208	1.234380571
209	1.232991638
210	1.231049435
211	1.229567015
212	1.22743683
213	1.225542552
214	1.223926476
215	1.222297587
216	1.220823211
217	1.219568642
218	1.217563099
219	1.216443487
220	1.214005493
221	1.212334394
222	1.210865531
223	1.209260267
224	1.207996035
225	1.206260969
226	1.204324212
227	1.202783925
228	1.20127048
229	1.199540871
230	1.197695456
231	1.196508702
232	1.195058034
233	1.193882214
234	1.192075454
235	1.190556771
236	1.188963554
237	1.187700271
238	1.186531077
239	1.184733075
240	1.183750356
241	1.182247681
242	1.181182987
243	1.179930992
244	1.178327834
245	1.176569537
246	1.175209639
247	1.174125701
248	1.172283923
249	1.170957345
250	1.169992517
251	1.167413599
252	1.165859694
253	1.164129551
254	1.16262687
255	1.161340133
256	1.158970449
257	1.157881153
258	1.155761603
259	1.154284663
260	1.15259123
261	1.151384061
262	1.150255582
263	1.148993115
264	1.148175906
265	1.146981351
266	1.144499684
267	1.143041555
268	1.141799003
269	1.139438448
270	1.138088905
271	1.136666324
272	1.135116435
273	1.132562589
274	1.131070572
275	1.129568294
276	1.127979186
277	1.126474784
278	1.124955057
279	1.123538724
280	1.122570071
281	1.120694288
282	1.118863089
283	1.116866792
284	1.11552955
285	1.114130381
286	1.112610289
287	1.111285156
288	1.109873533
289	1.108140134
290	1.106021761
291	1.104566099
292	1.10236662
293	1.100535443
294	1.098737128
295	1.097359748
296	1.096371453
297	1.094780092
298	1.093169921
299	1.091730656
300	1.090185251
301	1.088780724
302	1.087833856
303	1.086697539
304	1.085676377
305	1.084501252
306	1.083462134
307	1.082142012
308	1.080775374
309	1.079594827
310	1.078582947
311	1.077556829
312	1.075583116
313	1.073478229
314	1.071863738
315	1.071031015
316	1.06981434
317	1.06844749
318	1.06699622
319	1.065898579
320	1.064638226
321	1.063394478
322	1.061975343
323	1.060802535
324	1.059692182
325	1.057663733
326	1.056752809
327	1.055285404
328	1.053568723
329	1.052129682
330	1.051006079
331	1.049645231
332	1.048282467
333	1.046677514
334	1.045011968
335	1.043247172
336	1.041413538
337	1.039482793
338	1.038600479
339	1.036870149
340	1.036034598
341	1.034394547
342	1.033318841
343	1.031985963
344	1.031016923
345	1.029190921
346	1.028241673
347	1.026850452
348	1.026190653
349	1.025269234
350	1.02335101
351	1.021859848
352	1.020567762
353	1.019327191
354	1.018044187
355	1.016910746
356	1.015844551
357	1.014919582
358	1.013579917
359	1.011603113
360	1.010730414
361	1.008978668
362	1.007081031
363	1.005981091
364	1.004806507
365	1.004074567
366	1.00295892
367	1.001538676
368	1.000207963
369	0.9995329536
370	0.998440446
371	0.9974932286
372	0.9968386382
373	0.9957793279
374	0.9946920587
375	0.9935598528
376	0.992478295
377	0.9915728404
378	0.9905694397
379	0.989591042
380	0.988310767
381	0.9874672427
382	0.986087986
383	0.984900308
384	0.9837087847
385	0.9827646112
386	0.981467567
387	0.9803008036
388	0.979422635
389	0.9782190877
390	0.9770636439
391	0.9764318092
392	0.9757275427
393	0.9746695467
394	0.9732580758
395	0.9724099915
396	0.9707669807
397	0.9694734026
398	0.9681428693
399	0.9669793908
400	0.9654172619
401	0.9642619009
402	0.9634720031
403	0.9624532182
404	0.9612246555
405	0.9600544823
406	0.9588873962
407	0.9577177512
408	0.9563808435
409	0.9553118414
410	0.954006573
411	0.9529166295
412	0.9517937054
413	0.9508157966
414	0.9495629454
415	0.948316198
416	0.9465704321
417	0.9455759966
418	0.9439607978
419	0.9429015367
420	0.9415833862
421	0.940674734
422	0.9397888741
423	0.9388955918
424	0.9375803963
425	0.9367377813
426	0.9353272892
427	0.9343653631
428	0.933794602
429	0.9327982459
430	0.9312880551
431	0.930313845
432	0.9294103663
433	0.9286098619
434	0.9275473161
435	0.9263927269
436	0.9254120012
437	0.9244710724
438	0.9229936621
439	0.9220852265
440	0.9206086638
441	0.9199501095
442	0.9190824727
443	0.9181342472
444	0.916955276
445	0.9161262234
446	0.9152611787
447	0.9138958433
448	0.9129488489
449	0.9119808672
450	0.9115053756
451	0.9105723675
452	0.9091403564
453	0.907831581
454	0.9070412387
455	0.9059142802
456	0.9048978397
457	0.9040143427
458	0.9030110954
459	0.9022832276
460	0.9011183447
461	0.9000159959
462	0.8994109484
463	0.8984476162
464	0.8975482553
465	0.8966791091
466	0.8958979428
467	0.8947312548
468	0.8935349873
469	0.8922790222
470	0.8909225716
471	0.8897910481
472	0.8888831245
473	0.8872738795
474	0.8858368304
475	0.8846486218
476	0.8835353366
477	0.8824646569
478	0.8813635181
479	0.8806890372
480	0.8793198758
481	0.8785474916
482	0.8776227558
483	0.8767157189
484	0.8758915311
485	0.8751178822
486	0.8744643802
487	0.8738340546
488	0.8733019172
489	0.8725752741
490	0.8714063699
491	0.8700166211
492	0.8691997642
493	0.8679578996
494	0.8669130078
495	0.8658745335
496	0.8652544332
497	0.8643344826
498	0.8629470597
499	0.8618547565
500	0.8610279357
501	0.8598484935
502	0.8592380527
503	0.858441738
504	0.8572314559
505	0.8559315479
506	0.8546357539
507	0.8536067402
508	0.8522500839
509	0.8512332663
510	0.8503912766
511	0.8491882296
512	0.8489094028
513	0.8482278682
514	0.8471125467
515	0.8457995831
516	0.8452988413
517	0.8443669571
518	0.8432828924
519	0.8422925649
520	0.8414910242
521	0.8407543878
522	0.8399263233
523	0.8387090177
524	0.8375069977
525	0.8364170176
526	0.8357297667
527	0.8350112087
528	0.8337652415
529	0.8331746493
530	0.8323067752
531	0.8314543525
532	0.8301780081
533	0.8291180795
534	0.8281764436
535	0.8272927633
536	0.8261395362
537	0.8245567677
538	0.8241100994
539	0.8231014271
540	0.822272916
541	0.8218498134
542	0.8212292617
543	0.8203817226
544	0.8193160578
545	0.8180544754
546	0.8169535328
547	0.8157721722
548	0.8150084151
549	0.8142227383
550	0.8133558425
551	0.812601444
552	0.8118061675
553	0.8108155425
554	0.8095230993
555	0.8086034942
556	0.8079039395
557	0.8071868518
558	0.8064604244
559	0.8055491431
560	0.8045353344
561	0.8037023669
562	0.8028982023
563	0.8018784037
564	0.8010726045
565	0.8001465948
566	0.7995033597
567	0.798682567
568	0.7983148851
569	0.7976038345
570	0.7971438187
571	0.7960295501
572	0.7952862005
573	0.7940491707
574	0.793265197
575	0.7927457109
576	0.7917987557
577	0.7908829332
578	0.7896448643
579	0.7886872306
580	0.7879176879
581	0.7870218665
582	0.786429853
583	0.7848978042
584	0.7841343932
585	0.7832004471
586	0.7825570242
587	0.7818426741
588	0.7810636129
589	0.7802273332
590	0.7795759236
591	0.7787196814
592	0.7780262257
593	0.7773095271
594	0.7764468752
595	0.7756604294
596	0.7750296755
597	0.7742476653
598	0.7737013651
599	0.7729917748
600	0.7726646897
601	0.7722653035
602	0.7712285062
603	0.7703960641
604	0.7693574758
605	0.7680593155
606	0.767273816
607	0.76651054
608	0.7657534971
609	0.7645712828
610	0.76382182
611	0.7629049767
612	0.7618376179
613	0.7608472105
614	0.760219076
615	0.7595716837
616	0.7590674033
617	0.7582049315
618	0.757515433
619	0.7569849345
620	0.7564084908
621	0.7557991766
622	0.7552395647
623	0.7547296436
624	0.7536566329
625	0.7530590044
626	0.7525104622
627	0.7518755749
628	0.7510649606
629	0.7501014641
630	0.7489856366
631	0.7481386201
632	0.7473042863
633	0.7462905726
634	0.7455977695
635	0.7446280137
636	0.7440456565
637	0.7434315012
638	0.7427705132
639	0.7415659823
640	0.7407364976
641	0.7398433976
642	0.7393539925
643	0.7386860772
644	0.7375333334
645	0.7368800236
646	0.7359418577
647	0.735266429
648	0.7345418236
649	0.7336871225
650	0.7324905659
651	0.7318348071
652	0.7308622925
653	0.7303099499
654	0.7296902143
655	0.7283809415
656	0.7275553662
657	0.7266989011
658	0.7256528289
659	0.7243071285
660	0.723372838
661	0.7227352337
662	0.7219004948
663	0.721202407
664	0.7204854942
665	0.7199843903
666	0.7192368526
667	0.7184067229
668	0.7178115693
669	0.7170993052
670	0.715659574
671	0.7145716991
672	0.7139835582
673	0.7127879239
674	0.7122892539
675	0.7113507719
676	0.7100161397
677	0.7090446575
678	0.7086910349
679	0.7080014881
680	0.7068228841
681	0.7059212529
682	0.7053234901
683	0.7044763261
684	0.7036629455
685	0.7030679262
686	0.7021239109
687	0.7016572581
688	0.7010324611
689	0.6997252544
690	0.6992683377
691	0.6983623049
692	0.6979525908
693	0.6972323811
694	0.6965928857
695	0.6957728443
696	0.6951771312
697	0.6943626378
698	0.6938187682
699	0.6934211458
700	0.6928327865
701	0.6922997264
702	0.6915136572
703	0.6908654887
704	0.6899432633
705	0.6892104648
706	0.6885535843
707	0.6880044041
708	0.6871698724
709	0.686379149
710	0.6857122736
711	0.6847823938
712	0.6839964762
713	0.6830489943
714	0.6823596656
715	0.6819205923
716	0.6809260082
717	0.6802376943
718	0.679861828
719	0.6791570262
720	0.6783089404
721	0.6774842442
722	0.6771567893
723	0.6762474416
724	0.6756946923
725	0.6751856406
726	0.674220474
727	0.6736334781
728	0.6724251376
729	0.6714747801
730	0.6709222277
731	0.6699176546
732	0.6691353979
733	0.6683353338
734	0.667635396
735	0.6670586032
736	0.6663826613
737	0.6656234474
738	0.6649340741
739	0.664156161
740	0.6636042069
741	0.6629038625
742	0.6624075402
743	0.6618597634
744	0.660999316
745	0.6603057153
746	0.6596435278
747	0.6588611254
748	0.6580783836
749	0.6574257691
750	0.6563182665
751	0.6556569433
752	0.6552572844
753	0.6545950608
754	0.6536759099
755	0.6530171399
756	0.6524914267
757	0.6517685467
758	0.6512281197
759	0.6504218201
760	0.6497370541
761	0.6492231591
762	0.6486310421
763	0.6477303811
764	0.6472066302
765	0.6464963905
766	0.6458880293
767	0.6450177344
768	0.6442748203
769	0.6439285512
770	0.6433520059
771	0.6425411142
772	0.641538079
773	0.6405759073
774	0.6400233119
775	0.6392104974
776	0.6388356805
777	0.6381999689
778	0.6373095435
779	0.636486134
780	0.6361334446
781	0.6350898432
782	0.6342663732
783	0.6337055757
784	0.6331408955
785	0.6325649324
786	0.6320094025
787	0.6314968788
788	0.6307636056
789	0.6297892319
790	0.6287405856
791	0.6283552426
792	0.6277421224
793	0.6267293831
794	0.6261757304
795	0.6251303889
796	0.6243130165
797	0.623797993
798	0.6234341892
799	0.6229269541
800	0.6223701002
801	0.6217074241
802	0.6207404597
803	0.6200027095
804	0.6196621006
805	0.6191563535
806	0.618702903
807	0.617866021
808	0.6167610312
809	0.6156726126
810	0.6150499323
811	0.6145781335
812	0.6142082451
813	0.6135667639
814	0.6128320439
815	0.6123947704
816	0.6118133698
817	0.6110917664
818	0.6101012725
819	0.6097142016
820	0.6090672452
821	0.6085317925
822	0.6076832182
823	0.6071949749
824	0.6066017903
825	0.6058410706
826	0.6051012257
827	0.6044528585
828	0.6039869982
829	0.6034010702
830	0.6031527546
831	0.6022797218
832	0.6014375312
833	0.6007163806
834	0.6004462508
835	0.5995782839
836	0.5988444705
837	0.5983645666
838	0.5977011012
839	0.5972672543
840	0.596642806
841	0.5958515788
842	0.5953400652
843	0.5949070955
844	0.5945093242
845	0.5938877084
846	0.5932585547
847	0.5924013952
848	0.5920348052
849	0.5912280931
850	0.5904210892
851	0.5895147167
852	0.5891845597
853	0.5885822839
854	0.587802118
855	0.5873123136
856	0.5866244955
857	0.5861897493
858	0.5856609041
859	0.5848284046
860	0.5841846384
861	0.5833707035
862	0.5824275574
863	0.5821010133
864	0.5815232049
865	0.5807359916
866	0.5801657336
867	0.5795450091
868	0.5790100964
869	0.5785617939
870	0.5779705934
871	0.5773240807
872	0.5767565078
873	0.5762320084
874	0.5756315243
875	0.575074049
876	0.5746133013
877	0.5739291925
878	0.573218118
879	0.57256725
880	0.5720278141
881	0.5716261471
882	0.5710941066
883	0.5706061313
884	0.5698445522
885	0.5694373236
886	0.5688037445
887	0.5679737183
888	0.5674634983
889	0.5668743172
890	0.5664238787
891	0.5657412465
892	0.5650160554
893	0.5646346026
894	0.56397516
895	0.5634971445
896	0.5629120945
897	0.5625706088
898	0.5621696922
899	0.5614721967
900	0.5606752317
901	0.560013618
902	0.5593735255
903	0.5588065814
904	0.557851569
905	0.557010885
906	0.5561416126
907	0.555435307
908	0.5549651269
909	0.5542934373
910	0.5536185261
911	0.5533517967
912	0.55273754
913	0.5525457421
914	0.5519552634
915	0.5514182352
916	0.5509857711
917	0.5503113074
918	0.5497958084
919	0.5493261535
920	0.5488480312
921	0.5486006778
922	0.5478115985
923	0.547122993
924	0.5461593222
925	0.5456075722
926	0.5449530551
927	0.5444906062
928	0.5441399455
929	0.5436198996
930	0.5430883772
931	0.5424314056
932	0.5416926968
933	0.5406930806
934	0.5401103291
935	0.5396054957
936	0.5390356006
937	0.5384753849
938	0.537616272
939	0.5370760823
940	0.5364581186
941	0.5358808605
942	0.5353391942
943	0.5345738821
944	0.534028871
945	0.5334325161
946	0.5330317689
947	0.5327131243
948	0.5321817636
949	0.5317061308
950	0.5310436241
951	0.5304941649
952	0.5298838024
953	0.5293209737
954	0.5286653117
955	0.528131074
956	0.5275824369
957	0.5272428483
958	0.5267084011
959	0.5260188736
960	0.525246941
961	0.5248046211
962	0.5244726195
963	0.5240352521
964	0.5234654441
965	0.5230666404
966	0.5226449638
967	0.5221300838
968	0.5214318476
969	0.5210922614
970	0.5205949875
971	0.5201727414
972	0.5199029742
973	0.5193838583
974	0.519124927
975	0.5186495322
976	0.5179289211
977	0.5175428108
978	0.5169351689
979	0.5166416334
980	0.5161802638
981	0.5156077572
982	0.5153893772
983	0.5149082879
984	0.5142153421
985	0.5139182168
986	0.5136221052
987	0.5132093842
988	0.5125194787
989	0.5121294301
990	0.5116607194
991	0.5108381972
992	0.5104064032
993	0.5099930238
994	0.5091628349
995	0.5085353883
996	0.5081686112
997	0.5079329318
998	0.5076010479
999	0.5073185397
